Unique_ID,Broad_Classification,SWAT_File,database_table,DATABASE_FIELD_NAME,SWAT_Header_Name,Text_File_Structure,Position_in_File,Line_in_file,Swat_code_type,SWAT_Code_Variable_Name,Description,Core,Units,Data_Type,Minimum_Range,Maximum_Range,Default_Value,Use_in_DB,Source_Module,Is_Local_Variable
1,SIMULATION,file.cio,simulation,titldum,titldum,delimited,1,1,character,titldum,titldum parameter from file.cio header,yes,text,string,0,999,default,yes,input_file_module,y
2,SIMULATION,file.cio,simulation,name,name,delimited,1,2,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
3,SIMULATION,file.cio,simulation,in_sim,in_sim,delimited,2,3,real,in_sim,in_sim parameter from file.cio,yes,none,real,0,1,1,yes,input_file_module,n
4,SIMULATION,file.cio,simulation,name,name,delimited,1,4,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
5,BASIN,file.cio,simulation,in_basin,in_basin,delimited,2,5,real,in_basin,in_basin parameter from file.cio,yes,none,real,0,1,1,yes,input_file_module,n
6,SIMULATION,file.cio,simulation,name,name,delimited,1,6,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
7,CLIMATE,file.cio,simulation,in_cli,in_cli,delimited,2,7,real,in_cli,in_cli parameter from file.cio,yes,none,real,0,1,1,yes,input_file_module,n
8,SIMULATION,file.cio,simulation,name,name,delimited,1,8,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
9,CONNECT,file.cio,simulation,in_con,in_con,delimited,2,9,real,in_con,in_con parameter from file.cio,yes,none,real,0,1,1,yes,input_file_module,n
10,SIMULATION,file.cio,simulation,name,name,delimited,1,10,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
11,CHANNEL,file.cio,simulation,in_cha,in_cha,delimited,2,11,real,in_cha,in_cha parameter from file.cio,yes,none,real,0,1,1,yes,input_file_module,n
12,SIMULATION,file.cio,simulation,name,name,delimited,1,12,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
13,RESERVOIR,file.cio,simulation,in_res,in_res,delimited,2,13,real,in_res,in_res parameter from file.cio,yes,none,real,0,1,1,yes,input_file_module,n
14,SIMULATION,file.cio,simulation,name,name,delimited,1,14,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
15,ROUTING,file.cio,simulation,in_ru,in_ru,delimited,2,15,real,in_ru,in_ru parameter from file.cio,yes,none,real,0,1,1,yes,input_file_module,n
16,SIMULATION,file.cio,simulation,name,name,delimited,1,16,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
17,HRU,file.cio,simulation,in_hru,in_hru,delimited,2,17,real,in_hru,in_hru parameter from file.cio,yes,none,real,0,1,1,yes,input_file_module,n
18,SIMULATION,file.cio,simulation,name,name,delimited,1,18,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
19,GENERAL,file.cio,simulation,in_exco,in_exco,delimited,2,19,real,in_exco,in_exco parameter from file.cio,yes,none,real,0,1,1,yes,input_file_module,n
20,SIMULATION,file.cio,simulation,name,name,delimited,1,20,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
21,GENERAL,file.cio,simulation,in_rec,in_rec,delimited,2,21,real,in_rec,in_rec parameter from file.cio,yes,none,real,0,1,1,yes,input_file_module,n
22,SIMULATION,file.cio,simulation,name,name,delimited,1,22,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
23,GENERAL,file.cio,simulation,in_delr,in_delr,delimited,2,23,real,in_delr,in_delr parameter from file.cio,yes,none,real,0,1,1,yes,input_file_module,n
24,SIMULATION,file.cio,simulation,name,name,delimited,1,24,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
25,AQUIFER,file.cio,simulation,in_aqu,in_aqu,delimited,2,25,real,in_aqu,in_aqu parameter from file.cio,yes,none,real,0,1,1,yes,input_file_module,n
26,SIMULATION,file.cio,simulation,name,name,delimited,1,26,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
27,GENERAL,file.cio,simulation,in_herd,in_herd,delimited,2,27,real,in_herd,in_herd parameter from file.cio,yes,none,real,0,1,1,yes,input_file_module,n
28,SIMULATION,file.cio,simulation,name,name,delimited,1,28,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
29,SIMULATION,file.cio,simulation,in_watrts,in_watrts,delimited,2,29,real,in_watrts,in_watrts parameter from file.cio,yes,none,real,0,1,1,yes,input_file_module,n
30,SIMULATION,file.cio,simulation,name,name,delimited,1,30,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
31,GENERAL,file.cio,simulation,in_link,in_link,delimited,2,31,real,in_link,in_link parameter from file.cio,yes,none,real,0,1,1,yes,input_file_module,n
32,SIMULATION,file.cio,simulation,name,name,delimited,1,32,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
33,SIMULATION,file.cio,simulation,in_hyd,in_hyd,delimited,2,33,real,in_hyd,in_hyd parameter from file.cio,yes,none,real,0,1,1,yes,input_file_module,n
34,SIMULATION,file.cio,simulation,name,name,delimited,1,34,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
35,SIMULATION,file.cio,simulation,in_str,in_str,delimited,2,35,real,in_str,in_str parameter from file.cio,yes,none,real,0,1,1,yes,input_file_module,n
36,SIMULATION,file.cio,simulation,name,name,delimited,1,36,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
37,SIMULATION,file.cio,simulation,in_parmdb,in_parmdb,delimited,2,37,real,in_parmdb,in_parmdb parameter from file.cio,yes,none,real,0,1,1,yes,input_file_module,n
38,SIMULATION,file.cio,simulation,name,name,delimited,1,38,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
39,GENERAL,file.cio,simulation,in_ops,in_ops,delimited,2,39,real,in_ops,in_ops parameter from file.cio,yes,none,real,0,1,1,yes,input_file_module,n
40,SIMULATION,file.cio,simulation,name,name,delimited,1,40,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
41,MANAGEMENT,file.cio,simulation,in_lum,in_lum,delimited,2,41,real,in_lum,in_lum parameter from file.cio,yes,none,real,0,1,1,yes,input_file_module,n
42,SIMULATION,file.cio,simulation,name,name,delimited,1,42,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
43,GENERAL,file.cio,simulation,in_chg,in_chg,delimited,2,43,real,in_chg,in_chg parameter from file.cio,yes,none,real,0,1,1,yes,input_file_module,n
44,SIMULATION,file.cio,simulation,name,name,delimited,1,44,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
45,GENERAL,file.cio,simulation,in_init,in_init,delimited,2,45,real,in_init,in_init parameter from file.cio,yes,none,real,0,1,1,yes,input_file_module,n
46,SIMULATION,file.cio,simulation,name,name,delimited,1,46,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
47,SIMULATION,file.cio,simulation,in_sol,in_sol,delimited,2,47,real,in_sol,in_sol parameter from file.cio,yes,none,real,0,1,1,yes,input_file_module,n
48,SIMULATION,file.cio,simulation,name,name,delimited,1,48,character,name,name parameter from file.cio,no,text,string,0,1,1,yes,input_file_module,y
